F1,9.76673964401424E-7,2614,108,8.919553448545703E-7,1726,71,7.091080204861466E-7,1128,46,
F2,9.924714502811934E-7,3767,156,9.452952080094634E-7,2567,106,9.31941391433955E-7,1151,47,
F3,8.64582665528518E-7,4434,184,9.837004914571166E-7,3020,125,7.426596526499342E-7,1367,56,
F4,9.951704491988396E-7,5179,215,9.928167929969167E-7,4866,202,0.16496663018805596,4271,177,
F5,8.948207871488721E-7,9893,412,0.0022076033457171618,7236,301,0.6966378501962414,6211,258,
F6,6.268877944143523E-7,673,27,2.360176362173927E-7,551,22,5.059667569626747E-7,481,19,
F7,-1256.9486618173005,5276,219,-1256.9486618173005,4582,190,-1256.9486618156625,5319,221,
F8,9.517473769834103E-7,2999,124,4.7211715403783217E-7,2016,83,0.9949590610980895,3978,165,
F9,9.821368065487945E-7,4245,176,9.34293064099497E-7,2732,113,7.127442057293839E-7,1296,53,
F10,6.812810601312483E-7,7761,323,0.007396040334115016,6755,281,0.02548623798793018,6978,291,
F11,9.99286618230677E-7,1822,75,7.112463035567155E-7,1129,46,7.621400728667164E-7,817,33,
