F1,9.349606477050053E-7,5377,167,6.578502612728121E-7,3679,114,9.122992286132123E-7,1857,57,
F2,9.860122415967195E-7,7072,220,9.885766942572783E-7,4704,146,7.538080898841938E-7,1985,61,
F3,8.803190864740318E-7,9632,300,6.930663561519066E-7,5885,183,8.440513667299949E-7,2431,75,
F4,9.942325682949592E-7,10879,339,9.383996440353585E-7,7486,233,9.070502116382845E-7,2462,76,
F5,9.798854966196936E-7,24278,758,0.3533008677987941,33811,1056,0.006602743607220951,8576,267,
F6,9.478726697587549E-7,1313,40,6.31711500734844E-7,1025,31,7.360948541407488E-7,897,27,
F7,-1675.931549089735,9502,296,-1675.9315490897352,7869,245,-1675.9315490867098,9817,306,
F8,9.107123860041533E-7,6049,188,9.80605390721312E-7,4959,154,9.740518123746433E-7,2113,65,
F9,9.13153363035768E-7,9057,282,9.483370581042649E-7,6204,193,8.390543535519157E-7,2238,69,
F10,8.735383668148633E-7,16760,523,8.862922047034316E-7,12148,379,0.009857284607820871,8587,268,
F11,9.520828137543624E-7,3521,109,8.805394939026545E-7,2175,67,7.91135932320941E-7,1281,39,
