F1,7.292896567815301E-7,1227,76,9.961468189987362E-7,1040,64,8.712473282072046E-7,635,39,
F2,9.241233454558672E-7,1450,90,8.863913172351369E-7,1168,72,8.468893037890073E-7,572,35,
F3,7.745228992887191E-7,1211,75,8.29741253308421E-7,1260,78,8.920714197814957E-7,731,45,
F4,9.383444708517034E-7,1793,112,9.55353320402307E-7,1725,107,7.972335088257214E-7,635,39,
F5,9.196756964221908E-7,2560,160,8.859294853679893E-7,2536,158,7.716291896727472E-7,1721,108,
F6,7.181799452779292E-7,176,10,1.4352345654507747E-7,177,10,5.38710400014019E-7,176,10,
F7,-837.9657745448675,2257,141,-837.9646191365515,4166,260,-837.9657745448676,1686,108,
F8,5.438926228285013E-7,1164,72,6.802721733700778E-7,878,54,7.72981846419718E-7,588,36,
F9,6.955148956766521E-7,1674,104,7.054941246753543E-7,1200,74,7.904889753884703E-7,637,39,
F10,0.007396040334126559,3898,248,0.009864672061006163,2682,167,0.066658347974862,2080,130,
F11,-5.1199182871750814E8,5220,377,-5.1199214284857196E8,4991,354,-4.963480837931545E8,4372,333,
F12,9.135234722568164E-7,750,46,6.469212615045628E-7,592,36,4.967547605205791E-7,414,25,
